SYMBOL HCC1395_BREAST
LOC100130301 0.0091
FAM48B1 -0.5629
C17orf107 0.1744
LOC100130331 0.1941
SCGB2B3P 0.3221
LOC100130348 0.7736
LOC100130357 -0.0817
LINC00552 -0.5163
LOC100130417 -0.4093
CECR7 -0.4064
PP14571 0.504
LOC100130451 -0.279
LOC100130452 -1.1837
LOC100130476 0.1731
LOC100130480 -0.3923
TMEM221 0.3716
PARD6G-AS1 -1.4927
LOC100130539 1.0612
LOC100130557 0.0997
LOC100130581 -0.4331
CXorf64 0.5238
LOC100130673 0.1615
LOC100130691 0.5214
LOC100130700 0.6559
LOC100130705 0.9078
CECR5-AS1 -0.4064
LRRC70 -0.382
LRRC69 0.0091
LOC100130744 0.6064
EFCAB10 0.8769
LOC100130776 -0.3153
SGK110 -0.4419
LOC100130849 0.2434
LOC100130855 0.4661
LOC100130872 -1.5339
LOC100130880 1.0059
PSORS1C3 0.3458
TSTD3 0.2582
LOC100130894 0.0906
LOC100130899 0.4065
C17orf110 0.4984
ZNF663 0.5764
LOC100130950 0.1744
LOC100130954 0.0976
SYCE1L 0.1055
LOC100130964 -0.3826
C6orf99 0.0771
LOC100130987 0.7736
C7orf72 0.2399
LOC100130992 -0.4261
LOC100131047 0.3553
LOC100131060 -0.3618
LOC100131067 -0.4008
LOC100131089 -0.4173
LOC100131094 -0.5038
LOC100131096 0.4956
ZBTB20-AS1 -5.949
BSPH1 -0.4733
LOC100131138 -0.4799
WDR86-AS1 1.1199
TSTD1 0.1963
KIAA1984-AS1 0.084
RPL21P28 0.0878
SNAP25-AS1 0.0776
TMEM194B 0.5214
ZNF503-AS2 -0.3945
LOC100131234 0.281
ANKRD63 -0.4173
LOC100131257 0.118
LOC100131289 0.3458
LOC100131320 -0.405
LOC100131347 -0.5071
LINC00605 0.0424
C11orf91 -0.3907
SP9 0.5214
LOC100131434 0.5125
CD300LD 0.4984
DBIL5P 0.1744
LOC100131496 0.5764
LOC100131551 -1.3892
FKSG29 -0.4239
LOC100131564 0.7299
LOC100131626 -0.4435
LOC100131635 -0.332
LOC100131655 -1.4927
LOC100131691 -0.4419
LOC100131726 1.031
USP30-AS1 -0.4328
ARMCX4 0.5409
PET100 -0.5038
LINC00271 0.1731
UBE2DNL -3.9447
LOC100131825 0.1145
ZNF717 -0.3239
FAM196B 0.1901
KRTAP25-1 -0.2932
ZNF705G -0.2485
RRN3P3 1.1857
LOC100132077 0.1412
LOC100132078 -0.4565
HERC2P7 -0.4385
FAM66E -0.2485
LOC100132111 0.1593
LOC100132146 0.2164
PHKA2-AS1 -0.5629
LOC100132215 0.181
LOC100132247 1.1857
LOC100132273 0.4065
KIAA0664L3 0.5298
LOC100132352 0.2017
LOC100132354 0.3553
LOC100132356 0.2071
KRTAP4-9 -0.434
ZNF705B -0.2485
GAGE12D -0.5744
NBPF10 0.2271
FCGR1C 0.1593
CLDN24 -0.3729
FAM99B -0.4569
KRTAP4-7 -0.434
LOC100132526 0.1569
XGPY2 -3.1727
ZRANB2-AS1 -1.3286
BSN-AS2 0.1104
LOC100132707 1.4014
CYP4F30P -0.405
DCAF13P3 -0.4173
LOC100132735 0.1731
LOC100132741 -0.5506
KDM4A-AS1 0.1125
LOC100132781 0.1878
LOC100132831 -0.5744
LOC100132832 0.7694
LOC100132891 0.0091
DPH3P1 0.5676
FAM159B -0.382
FAM66D -0.5002
FAM27C 0.1548
CXorf68 0.5125
GOLGA8DP -0.334
LOC100132987 -0.3945
LOC100133050 -0.3286
LOC100133091 0.7694
FAM27B 0.1548
LOC100133123 -0.5629
UBE2Q2P3 -0.0982
SPANXB2 0.5125
FAM66A 0.5177
LINC00240 0.3458
SBF1P1 -0.047
LOC100133267 -0.5002
LOC100133286 -0.2932
LOC100133308 0.1093
HOXA-AS3 0.1615
LOC100133315 -0.4155
LOC100133445 -0.4093
LOC100133461 -1.5339
MRPL23-AS1 -0.4569
LOC100133612 -0.4093
LOC100133669 0.9979
LOC100133920 -0.3486
CD24 0.3976
LOC100133957 -0.5744
LOC100133985 -0.3486
MAP3K14-AS1 -0.3343
UBOX5-AS1 0.0776
LOC100134229 1.0059
LOC100134259 0.2509
LOC100134317 0.2985
LOC100134368 -0.2706
KCNJ18 -0.4562
NDUFB2-AS1 1.0059
LOC100134868 0.006
UBE2Q2P2 -0.0982
TEN1 0.4984
UPK3BL 0.8769
JMJD7 -0.4173
PLA2G4B -0.4173
HDAC5 -0.4331
C17orf99 0.4956
LOC100144595 -0.3016
LINC00029 0.5676
LOC100144597 0.5676
LOC100144602 -0.2119
LOC100144603 0.6442
LOC100144604 0.8213
KLLN 0.5676
PDCD6IP 0.2164
KRTAP20-4 -0.2932
RNU4ATAC -0.3442
RNU6ATAC 0.0536
SCARNA9L -0.5629
PDCD6 0.9572
LOC100169752 0.5173
PATE3 -0.4435
PEG3-AS1 -0.4419
SNAR-A13 -0.4733
DBIL5P2 0.181
BCL2L10 -0.4173
SNAR-B2 -0.4277
SNAR-C2 -0.4733
SNAR-C4 -0.4733
SNAR-E -0.4733
SNAR-H -0.3486
SNAR-I -0.332
SNAR-C5 -0.4733
SNAR-B1 -0.4277
SNAR-C1 -0.4733
SNAR-C3 -0.4733
SNAR-D -0.4277
SNAR-G2 -1.4996
SRRM5 -0.3772
C19orf69 -0.4715
C17orf96 -0.5071
LOC100170939 -0.4008
BCL2L11 -1.3989
MIR1224 -0.332
MIR1225 0.1223
TOMM6 0.3553
LOC100188947 -0.3804
LINC00426 0.1226
LINC00092 0.1878
DNMBP-AS1 -0.4147
DCTN1-AS1 -0.3486
SH2B3 -0.4799
RAMP2-AS1 -0.4102
TPT1-AS1 0.6148
LOC100190940 -0.4607
C5orf52 0.1901
LOC100190986 0.8967
C2CD4D 0.1593
LOC100192204 -0.385
ZFHX4-AS1 0.0091
PP12613 0.6618
FLJ16779 0.5676
FLJ41941 -0.4064
LOC100192426 -0.3923
CDH4 0.5591
GNE -0.4354
HCN4 0.3743
LOC100216001 -0.461
LOC100216479 -0.405
LOC100216545 0.8769
LOC100216546 0.8769
INSL5 -0.3618
FRAT1 -0.4147
PCED1B-AS1 -0.3034
TROAP -0.4027
LOC100240734 -0.4027
LOC100240735 -0.4027
MED16 -0.5038
PIGK -0.2857
LOC100268168 0.1014
LOC100270679 0.006
LOC100270746 0.3458
LOC100270804 0.006
LOC100271702 0.1726
ARHGEF33 -0.3174
LOC100271722 0.6442
LOC100271832 0.6944
LOC100271836 0.8967
ERVV-2 -0.4277
MEF2B 0.4174
AIRN 0.0771
ZNRF2P2 0.1615
MTCP1NB 0.5125
LOC100272216 -2.5948
LOC100272217 0.0418
LOC100272228 0.5125
LOC100286793 0.2271
BCDIN3D-AS1 -0.4027
LOC100286922 0.7267
VPS13A-AS1 0.1778
ANAPC1P1 0.5133
LOC100287010 -1.3989
LOC100287015 -0.4025
DDX11L10 0.5038
LOC100287036 0.5375
LOC100287042 0.4984
DEFT1P2 1.1513
LINC00421 0.1226
LOC100287144 -1.5339
LOC100287177 -0.4733
LOC100287178 -1.5339
LOC100287205 -1.5339
SH3RF3-AS1 -1.3989
LOC100287225 0.621
ZNF729 0.4174
TIPARP-AS1 0.236
LOC100287238 -1.5339
MANSC4 0.2599
LOC100287314 0.2039
LOC100287327 -1.5339
PRSS46 0.2164
LOC100287364 -1.5339
LOC100287404 -1.5339
PNMA6C 0.5125
LOC100287441 -1.5339
LOC100287478 -1.5339
LOC100287482 0.9078
LOC100287513 -1.5339
LOC100287534 0.3483
ADPGK-AS1 0.3743
LINC00173 -0.4404
LOXL1-AS1 0.3743
LOC100287632 0.8329
LOC100287704 0.87
LOC100287718 -0.3752
AP4B1-AS1 -0.3978
LINC00630 0.5409
LOC100287792 0.2206
LINC00582 0.2209
LOC100287846 -0.3826
LOC100287879 -0.2544
TTC34 -0.4093
LGALS8-AS1 0.1639
TIMM23 0.2167
LOC100287944 -0.4118
GM140 0.2339
LOC100288069 -0.4093
WTAPP1 -0.3389
LOC100288079 0.2339
LOC100288122 0.5375
LOC100288123 -0.5038
LOC100288181 0.9979
LOC100288198 0.2371
KRTAP22-2 -0.2932
KRTAP21-3 -0.2932
LOC100288346 -0.4565
ERVMER34-1 0.2412
LOC100288428 0.1711
LOC100288432 -0.2932
MTRNR2L7 0.6602
LOC100288520 -1.5339
LOC100288524 0.1028
WHAMMP1 -0.4508
LOC100288637 -4.5039
PAN3-AS1 0.1226
LOC100288748 0.0091
TMEM239 0.0776
FRG2C -0.3239
HYDIN2 0.2271
LOC100288814 0.4717
LOC100288842 -0.4673
LOC100288846 -0.2939
LOC100288911 -0.3149
LOC100288974 -0.3945
MOXD2P 1.0059
LOC100289019 -0.4673
LOC100289092 0.5298
LOC100289137 -0.4354
FAM197Y5 -3.182
GNG12-AS1 -0.3618
LOC100289187 0.8769
LINC00624 0.2271
LOC100289230 -0.3286
LINC00675 0.1158
LOC100289341 0.084
LOC100289361 0.2961
UBAC2-AS1 -0.4239
MCF2L-AS1 -0.5163
DEFB4B -0.2485
LOC100289473 0.0776
LOC100289495 -0.5073
LOC100289509 -0.4147
LOC100289511 -0.4701
LOC100289561 0.8769
ZNF605 -0.4607
LOC100289650 -0.3772
LOC100289656 -0.4171
LOC100289673 -0.3505
ZNF783 1.0457
LOC100292680 0.1726
ZNF587B -0.4419
LOC100293534 0.3553
LOC100294145 0.3553
LOC100294362 0.7992
NHEG1 0.1731
CDH5 0.1946
MIR1284 -0.425
MIR1200 0.1615
MIR1468 -0.5028
MIR1265 -0.385
MIR320B1 -0.3978
MIR1286 -0.4064
MIR1538 0.1946
MIR1276 0.4661
MIR1275 0.3553
MIR1288 0.1158
MIR1471 0.7267
MIR1470 0.5125
MIR1915 0.5821
MIR302F 0.6477
MIR1182 0.2209
MIR1287 -0.4147
MIR1289-2 -0.404
MIR320C1 0.6477
MIR1252 -0.2815
MIR1914 0.5676
MIR1292 0.0776
MIR1537 0.1639
MIR1913 -0.5073
MIR1246 0.5214
MIR1248 -0.332
MIR1912 0.5409
MIR1247 0.0424
MIR1249 0.4091
MIR1296 -0.3824
MIR1298 0.5409
MIR1229 0.0047
MIR1185-1 0.513
MIR1231 0.1934
MIR548F3 0.2155
MIR1233-1 -2.5683
MIR1205 1.031
MIR1278 0.2997
MIR2113 -1.4209
MIR1322 -0.5002
MIR1257 0.4658
MIR320D2 0.5125
MIR1206 1.031
MIR1258 0.5214
MIR1307 -0.4147
MIR1207 1.031
MIR1295A 0.1963
MIR1270-1 0.4174
MIR1279 -0.4226
MIR1272 0.4661
MIR1204 1.031
MIR548I3 -0.2485
MIR1297 -4.5865
MIR1243 0.6155
MIR1976 0.0878
MIR548I4 0.5125
MIR320C2 0.6477
MIR1234 1.1201
MIR1306 -0.4064
MIR1228 -0.3153
MIR1266 -0.4173
MIR548I1 -0.497
MIR1283-2 -0.4277
MIR1253 0.1744
MIR1185-2 0.513
MIR1909 -0.5038
MIR1203 -0.446
MIR1324 -0.3239
MIR1181 -0.5038
MIR1277 0.5679
MIR1827 -0.3887
MIR1245A 0.5214
MIR1293 -0.4027
MIR1291 -0.4027
MIR1911 0.5409
MIR2110 -0.4147
MIR2053 0.9018
MIR1238 -0.5038
MIR1250 0.7992
MIR1226 0.1104
MIR664 0.2209
MIR1179 0.4661
MIR1260A 0.5366
MIR1281 0.4065
MIR103B1 0.1901
MIR548F5 -0.5692
MIR1304 -0.3389
MIR1236 0.3553
MIR1972-1 0.1946
MIR1301 -0.4296
MIR1197 0.513
MIR1264 0.5409
MIR1282 -0.4173
MIR1323 -0.4277
MIR1180 -0.4562
MIR1539 0.6477
MIR1469 0.8213
MIR2052 0.0091
MIR1910 0.5375
MIR1908 0.6614
MIR1283-1 -0.4277
MIR2054 0.6618
MIR1305 -0.3729
MIR1178 -0.4404
MIR548I2 -1.5339
MIR1262 -0.3618
MIR1237 0.7736
MIR1208 1.031
MIR103B2 0.0776
MIR1227 -0.5038
MIR1251 -0.3398
MIR1973 0.6618
RASAL2-AS1 0.2339
LOC100302640 -0.3212
BRE-AS1 0.1469
GPR75-ASB3 0.2509
LINC00184 0.2732
FTX -0.5506
TMED7-TICAM2 -0.3505
PCNA-AS1 0.0776
FAS-AS1 -0.3077
SNORA80B -0.4516
NCRUPAR -0.4008
TSNAX-DISC1 0.2209
ZEB2-AS1 -0.282
SLC25A5-AS1 0.5445
LOC100303749 -0.382
PET117 0.006
PITPNA-AS1 0.1744
NDUFAF4P1 -0.4173
OTX2-AS1 0.6254
SPDYE2L 0.8769
MIR320B2 0.2209
MIR548K 0.7234
MIR548F2 -0.29
MIR548M -0.5506
MIR670 -0.2931
MIR759 -5.3716
MIR2117 -0.4331
MIR2278 0.1412
MIR718 0.5125
MIR663B -0.3537
MIR762 0.5298
MIR764 0.5409
MIR2114 0.5125
MIR548Q -0.4147
MIR2276 0.1226
MIR711 0.1104
MIR548H4 0.0091
MIR2116 0.4661
MIR2277 -0.3286
MIR761 0.135
MIR548F4 1.0457
MIR320D1 0.6148
MIR548J 0.7992
MIR449C -0.3604
MIR548G 0.6155
HOTTIP 0.1615
SAP25 0.8769
GCSHP3 -0.2975
TRPC5OS 0.5409
LOC100335030 -0.4027
SNORA70F 0.5214
CSN1S2BP -0.2608
LINC00102 1.4625
CHAF1A -0.5038
SNORA70G -0.4226
SNORA70D 0.0906
MACROD2-AS1 0.056
TMED11P -1.5339
LOC100379224 -0.3772
BOK-AS1 0.504
SNORA70E -0.4155
NPPA-AS1 0.1255
MIR181A2HG -0.4673
BACE1-AS -0.5187
GRIK1-AS2 -0.2932
PARP2 0.5627
ZBED6 0.2209
PARP3 0.1104
CDH6 0.6064
TOM1L1 -0.446
LOC100419868 0.6602
HMGXB4 0.804
LOC100422737 0.1556
MIR4300 -0.4155
MIR3128 0.5214
MIR3160-2 -0.462
MIR4274 -1.5339
MIR3160-1 -0.462
MIR4287 -0.4363
MIR4319 0.6477
MIR3191 -0.4733
MIR3188 0.3716
MIR3183 0.1744
MIR1193 0.513
MIR3119-1 0.1963
MIR4317 -0.3923
MIR3074 0.1412
MIR1233-2 -2.5683
MIR514B 0.5125
MIR548T -0.3892
MIR4316 0.4956
MIR3182 0.5375
MIR3187 -0.5038
MIR4301 -0.4565
MIR3123 0.1941
MIR4318 0.6477
MIR4285 0.8769
MIR3136 -0.3779
MIR4292 0.084
MIR4306 -0.4239
MIR4265 -1.3989
MIR4320 0.6477
MIR3115 0.1367
MIR378C 0.4545
MIR4270 0.1569
MIR3152 -0.2891
MIR3117 -0.3618
MIR4297 0.4545
MIR4279 0.6064
MIR3192 0.006
MIR3148 -0.3431
MIR3202-2 0.5125
MIR3124 0.1725
MIR3162 0.6614
MIR3170 -0.4239
MIR3120 0.1963
MIR4325 0.5591
MIR4280 -0.3286
MIR4264 -0.3486
MIR3194 0.5764
MIR4327 -0.2932
MIR3157 -0.4147
MIR3154 -0.4673
MIR4260 0.2209
MIR4294 0.2167
MIR3140 -0.3448
MIR4302 0.9108
MIR4255 -0.5388
MIR3190 -0.4733
MIR3158-1 -0.4147
MIR4288 -0.4363
MIR3193 -0.0822
MIR4311 0.4661
MIR3156-2 0.6477
MIR3129 0.5214
MIR4295 -0.4147
MIR2861 -0.4673
MIR500B -0.5744
MIR3200 0.7992
MIR320E -0.4733
MIR4253 0.1367
MIR3065 0.7992
MIR3201 0.6442
MIR3167 -0.4435
MIR1972-2 0.1946
MIR548W 0.1946
MIR4303 -0.3398
MIR4322 -0.5038
MIR4291 0.1412
MIR3127 0.4209
MIR4261 -1.4674
MIR4330 0.5125
MIR4304 -0.4404
MIR4328 -0.5506
MIR3143 0.3458
MIR3153 0.1637
MIR4275 0.6502
MIR3142 0.1901
MIR3147 1.5126
MIR4305 0.6148
MIR4272 -0.411
MIR3189 0.3716
MIR3186 0.7992
MIR4326 0.5676
MIR3122 0.2209
MIR4284 0.0813
MIR3141 0.1901
MIR4271 0.1104
MIR3165 -0.4155
MIR4309 0.0424
MIR4273 -0.3239
MIR3131 0.0663
MIR4268 0.0663
MIR4281 0.1209
MIR4290 0.1412
MIR3150A 0.0091
MIR4263 0.1469
MIR4277 0.7494
MIR3146 -0.3121
MIR4251 -0.4093
MIR2909 -0.5071
MIR4312 0.4661
MIR3169 -0.3196
MIR3178 0.1223
MIR4252 -0.4093
MIR4256 -0.3978
MIR3185 -0.446
MIR4324 -1.4996
MIR4323 -0.4715
MIR3173 1.0147
MIR4314 0.1158
MIR4308 0.6254
MIR3125 -0.4296
MIR3202-1 0.5125
MIR3156-1 0.1093
MIR3155A -0.4182
MIR3134 -0.3906
MIR1260B -0.3389
MIR3151 0.4784
MIR3130-1 -0.2975
MIR4267 -1.3989
MIR3175 0.8213
MIR4262 -0.4516
MIR4257 0.1593
MIR3199-2 0.7992
MIR4278 0.7494
MIR3145 0.1731
MIR3130-2 -0.2975
MIR3184 -0.4562
MIR4282 0.9057
MIR4329 0.5409
MIR3119-2 0.1963
MIR3138 -1.5339
MIR3177 0.1223
MIR4310 -0.4173
MIR3196 0.5676
MIR4289 0.1637
MIR3156-3 -0.279
MIR4307 0.2446
MIR4258 0.1293
MIR4298 -0.4569
MIR3197 -0.436
MIR1270-2 0.4174
MIR3198-1 -0.4064
MIR4299 -0.3886
MIR4266 -1.3989
MIR4254 0.0969
MIR3126 -0.3486
MIR4321 -0.5038
MIR3121 0.2339
MIR3158-2 -0.4147
MIR3199-1 0.7992
MIR4313 0.3743
MIR2355 -0.2552
MIR3176 -0.2706
MIR3132 0.0663
MIR4296 0.5173
MIR4276 -0.3729
MIR4269 0.504
IGLL5 1.2705
TOM1 0.804
KLRF2 0.5747
SH2D3C -0.4673
SH2D3A -0.5038
MAMLD1 0.5125
MINOS1P1 0.9097
MTRNR2L1 -0.4562
MTRNR2L2 -0.4008
MTRNR2L3 0.5591
MTRNR2L4 0.1223
MTRNR2L5 0.2167
MTRNR2L6 0.9751
MTRNR2L8 -0.3886
MTRNR2L10 -0.5744
CST8 0.006
RANBP9 -0.0817
DNAJB6 1.4014
LOC100498859 0.236
THAP9-AS1 0.1826
LOC100499183 0.4784
LOC100499194 -5.1735
LOC100499227 -0.4435
LOC100499405 0.5596
LINC00674 0.7913
LINC00673 0.8264
C9orf174 0.1878
LOC100499484 0.1878
LOC100499489 -0.4261
CDH7 -1.2993
SLC17A4 0.3976
LOC100500773 0.0091
MIR3659 -0.5388
MIR3685 -0.3398
MIR3919 0.2371
MIR3654 0.87
MIR3607 -0.3286
MIR374C -0.5506
MIR3917 0.0878
MIR23C -0.5629
MIR3620 0.2209
MIR3621 0.084
MIR3677 0.1223
MIR3646 0.1965
MIR3616 0.5764
MIR3649 0.1726
MIR3612 -0.4592
MIR3945 -0.3729
MIR3609 0.8769
MIR3655 0.2155
MIR3910-1 0.1412
MIR3920 -0.3389
MIR3650 0.6064
MIR3660 -0.3286
MIR3909 0.804
MIR3614 -0.446
MIR3619 0.6442
MIR3943 0.2399
MIR550B2 0.1615
MIR3912 0.1901
MIR3658 0.1963
MIR3653 0.7992
MIR3924 0.3069
MIR3907 1.1199
MIR3914-1 0.1048
MIR3606 0.5214
MIR3926-2 -0.317
MIR3656 -0.4435
MIR3678 0.4984
MIR3652 -0.4118
MIR3922 -0.4118
MIR3664 -0.4155
MIR642B -0.4733
MIR3689A 0.0976
MIR3615 0.4984
MIR3916 0.1656
MIR3682 0.2509
MIR3918 0.0771
MIR3180-4 0.9496
MIR3605 0.0969
MIR3671 -0.3618
MIR548Z -0.3451
MIR3939 -0.5073
MIR3622A -0.4363
MIR3921 -0.2915
MIR3618 -0.4064
MIR3665 -0.3196
MIR548AA1 0.0091
MIR3936 -0.3464
MIR3941 0.5173
MIR3684 0.6155
MIR3913-2 -0.4226
MIR3926-1 -0.317
