SYMBOL HCT15_LARGE_INTESTINE
FAM48B1 0.0905
C17orf107 -7e-04
LOC100130331 0.0162
SCGB2B3P -0.0266
LOC100130348 0.0252
LOC100130357 -0.0078
LINC00552 0.0728
LOC100130417 0.1105
CECR7 0.0221
PP14571 0.0274
LOC100130451 -0.0153
LOC100130452 0.0362
LOC100130476 0.0056
LOC100130480 -0.0187
TMEM221 -0.0266
PARD6G-AS1 0.0036
LOC100130539 -0.009
LOC100130557 0.0115
LOC100130581 0.014
CXorf64 0.0027
LOC100130673 0.0036
LOC100130691 -0.0116
LOC100130700 0.7951
LOC100130705 0.0024
CECR5-AS1 0.0221
LRRC70 0.0379
LRRC69 -0.0142
LOC100130744 -0.0043
EFCAB10 0.0065
LOC100130776 0.0318
SGK110 -0.0173
LOC100130849 -0.0276
LOC100130855 0.0219
LOC100130872 0.0193
LOC100130880 0.0024
PSORS1C3 -0.0759
TSTD3 2e-04
LOC100130894 -0.008
LOC100130899 0.0221
C17orf110 0.0122
ZNF663 0.0099
LOC100130950 -7e-04
LOC100130954 0.038
SYCE1L 0.0159
LOC100130964 -0.0058
C6orf99 -0.0284
LOC100130987 -3e-04
C7orf72 0.0036
LOC100130992 0.009
LOC100131047 -0.002
LOC100131060 0.0154
LOC100131067 0.0045
LOC100131089 -0.0079
LOC100131094 -0.0266
LOC100131096 0.0122
ZBTB20-AS1 -0.0289
BSPH1 0.0087
LOC100131138 0.029
WDR86-AS1 0.0109
TSTD1 -0.0121
KIAA1984-AS1 0.038
RPL21P28 0.0115
SNAP25-AS1 0.0194
TMEM194B 0.0362
ZNF503-AS2 -0.002
LOC100131234 0.0031
ANKRD63 -0.0079
LOC100131257 0.0049
LOC100131289 0.0013
LOC100131320 -0.0345
LOC100131347 0.0082
LINC00605 0.0133
C11orf91 -0.0167
SP9 0.0442
LOC100131434 0.0583
CD300LD 0.0122
DBIL5P -0.8223
LOC100131496 0.0572
LOC100131551 -0.0139
FKSG29 0.0182
LOC100131564 0.0613
LOC100131626 -0.0236
LOC100131635 -0.0139
LOC100131655 0.0036
LOC100131691 -0.0173
LOC100131726 -0.0088
USP30-AS1 0.0133
ARMCX4 0.0183
PET100 -0.0266
LINC00271 0.0056
UBE2DNL -0.005
LOC100131825 -0.0121
ZNF717 0.0171
FAM196B -0.0345
KRTAP25-1 0.0023
ZNF705G 0.7319
RRN3P3 0
LOC100132077 0.0043
LOC100132078 -0.0236
HERC2P7 0.0083
FAM66E -0.0108
LOC100132111 0.0288
LOC100132146 -0.02
PHKA2-AS1 0.0905
LOC100132215 -0.006
LOC100132247 0
LOC100132273 0.0221
KIAA0664L3 0
LOC100132352 0.0482
LOC100132354 -0.002
LOC100132356 -0.0043
KRTAP4-9 0.0082
ZNF705B -0.0108
GAGE12D -0.005
NBPF10 0.0288
FCGR1C 0.0288
CLDN24 0.0215
FAM99B 0.0492
KRTAP4-7 0.0082
LOC100132526 0.0268
XGPY2 -0.8796
ZRANB2-AS1 0.0177
BSN-AS2 -0.0124
LOC100132707 0.0109
CYP4F30P -0.0345
DCAF13P3 4e-04
LOC100132735 0.0056
LOC100132741 -0.005
KDM4A-AS1 0.0115
LOC100132781 0.0043
LOC100132831 -0.005
LOC100132832 0.0103
LOC100132891 -0.0142
DPH3P1 -0.0015
FAM159B 0.0379
FAM66D -1.5552
FAM27C 0.0276
CXorf68 0.0583
GOLGA8DP 0.0083
LOC100132987 -0.002
LOC100133050 -0.0054
LOC100133091 -0.0528
FAM27B 0.0276
LOC100133123 0.0905
UBE2Q2P3 2.4035
SPANXB2 0.0027
FAM66A 0.0358
LINC00240 0.0013
SBF1P1 -0.0142
LOC100133267 -1.5552
LOC100133286 1.4129
LOC100133308 -0.009
HOXA-AS3 0.0036
LOC100133315 0.0022
LOC100133445 0.7307
LOC100133461 0.0193
MRPL23-AS1 0.0492
LOC100133612 0.0039
LOC100133669 -0.0024
LOC100133920 -0.006
CD24 0.0072
LOC100133957 -0.005
LOC100133985 -0.006
MAP3K14-AS1 0.014
UBOX5-AS1 0.0194
LOC100134229 0.0024
LOC100134259 -0.0128
LOC100134317 -0.0266
LOC100134368 0
KCNJ18 0.0385
NDUFB2-AS1 0.0024
LOC100134868 0.0099
UBE2Q2P2 2.4035
TEN1 0.0122
UPK3BL -0.0195
JMJD7 0.0386
PLA2G4B 0.0386
HDAC5 0.014
C17orf99 0.0122
LOC100144595 0.023
LINC00029 -0.0015
LOC100144597 -0.0015
LOC100144602 -0.021
LOC100144603 0.0067
LOC100144604 0.0047
KLLN 0.0178
PDCD6IP 0.0489
KRTAP20-4 0.0023
RNU4ATAC 0.0106
RNU6ATAC -0.0067
SCARNA9L 0.0905
PDCD6 0.1091
LOC100169752 0.0163
PATE3 -0.0236
PEG3-AS1 -0.0173
SNAR-A13 0.0087
DBIL5P2 -0.006
BCL2L10 4e-04
SNAR-B2 0.0087
SNAR-C2 0.0087
SNAR-C4 0.0087
SNAR-E -0.0159
SNAR-H -0.006
SNAR-I -0.0139
SNAR-C5 0.0087
SNAR-B1 0.0087
SNAR-C1 0.0087
SNAR-C3 0.0087
SNAR-D 0.0087
SNAR-G2 0.0087
SRRM5 -0.0266
C19orf69 -0.0266
C17orf96 0.0082
LOC100170939 0.0379
BCL2L11 -0.0024
MIR1224 -0.0139
MIR1225 0
TOMM6 -0.002
LOC100188947 0.0178
LINC00426 0.0052
LINC00092 0.0043
DNMBP-AS1 0.0178
DCTN1-AS1 -0.006
SH2B3 0.029
RAMP2-AS1 0.0082
TPT1-AS1 -0.0125
LOC100190940 0.0577
C5orf52 -0.0345
LOC100190986 0
C2CD4D 0.0288
LOC100192204 -0.0045
ZFHX4-AS1 -0.0142
PP12613 -0.0116
FLJ16779 -0.0015
FLJ41941 0.0221
LOC100192426 -0.0187
CDH4 -0.0015
GNE 0.0135
HCN4 -0.0018
LOC100216001 -0.0286
LOC100216479 -0.0345
LOC100216545 0.0065
LOC100216546 0.0065
INSL5 0.0177
FRAT1 0.0178
PCED1B-AS1 0.0318
TROAP 0.0318
LOC100240734 0.0318
LOC100240735 0.0318
MED16 -0.0266
PIGK -0.0143
LOC100268168 -0.0345
LOC100270679 0.0307
LOC100270746 0.0013
LOC100270804 0.0307
LOC100271702 0.0173
ARHGEF33 0.0288
LOC100271722 0.0067
LOC100271832 -0.0334
LOC100271836 0
ERVV-2 0.0224
MEF2B -0.0266
AIRN -0.0284
ZNRF2P2 0.0036
MTCP1NB 0.0583
LOC100272216 0.0379
LOC100272217 -0.0067
LOC100272228 0.0583
LOC100286793 0.0288
BCDIN3D-AS1 0.0318
LOC100286922 0.0274
VPS13A-AS1 0.0043
ANAPC1P1 -0.006
LOC100287010 0.0142
LOC100287015 -0.0367
DDX11L10 0
LOC100287036 0.0217
LOC100287042 0.0122
DEFT1P2 -0.0367
LINC00421 0.0607
LOC100287144 0.0193
LOC100287177 -0.0159
LOC100287178 0.0193
LOC100287205 0.0193
SH3RF3-AS1 0.0142
LOC100287225 0.0322
ZNF729 -0.0266
TIPARP-AS1 0.0091
LOC100287238 0.0193
MANSC4 0.0427
LOC100287314 0.0146
LOC100287327 0.0193
PRSS46 -0.02
LOC100287364 0.0193
LOC100287404 0.0193
PNMA6C 0.0583
LOC100287441 0.0193
LOC100287478 0.0193
LOC100287482 0.0024
LOC100287513 0.0193
LOC100287534 0.0224
ADPGK-AS1 -0.0018
LINC00173 0.029
LOXL1-AS1 -0.0018
LOC100287632 0.0076
LOC100287704 -0.0276
LOC100287718 0.016
AP4B1-AS1 0.0288
LINC00630 0.0183
LOC100287792 0.0099
LINC00582 0.0162
LOC100287846 -0.0058
LOC100287879 0.0296
TTC34 0.7307
LGALS8-AS1 0.0162
TIMM23 -0.009
LOC100287944 0.0133
GM140 -0.0018
LOC100288069 0.1105
WTAPP1 -0.0094
LOC100288079 -0.0147
LOC100288122 0.0286
LOC100288123 -0.0266
LOC100288181 -0.0024
LOC100288198 0.0217
KRTAP22-2 0.0023
KRTAP21-3 0.0023
LOC100288346 -0.0236
ERVMER34-1 0.0324
LOC100288428 -0.0118
LOC100288432 0.0023
MTRNR2L7 -0.0191
LOC100288520 0.0193
LOC100288524 0.0049
WHAMMP1 -0.0053
LOC100288637 -0.0053
PAN3-AS1 0.0052
LOC100288748 -0.0142
TMEM239 0.0194
FRG2C 0.0171
HYDIN2 0.0288
LOC100288814 0.0905
LOC100288842 -0.0305
LOC100288846 0.0054
LOC100288911 0.0288
LOC100288974 -0.002
MOXD2P 0.0024
LOC100289019 -0.0305
LOC100289092 0
LOC100289137 0.0135
FAM197Y5 -0.8796
GNG12-AS1 0.0177
LOC100289187 0.0094
LINC00624 0.0288
LOC100289230 -0.0469
LINC00675 -7e-04
LOC100289341 0.038
LOC100289361 0.0074
UBAC2-AS1 0.0182
MCF2L-AS1 0.0728
DEFB4B -0.0108
LOC100289473 0.0194
LOC100289495 -0.0284
LOC100289509 0.0178
LOC100289511 -0.0047
LOC100289561 -0.0195
ZNF605 0.0577
LOC100289650 -0.0266
LOC100289656 0.0573
LOC100289673 -0.0159
ZNF783 0.0246
LOC100292680 0.0173
ZNF587B -0.0173
LOC100293534 0.1441
LOC100294145 -0.002
LOC100294362 0.0355
NHEG1 0.0056
CDH5 -0.008
MIR1284 0.0171
MIR1200 0.0036
MIR1468 -0.005
MIR1265 -0.0399
MIR320B1 0.0288
MIR1286 0.0221
MIR1538 -0.008
MIR1276 0.0047
MIR1275 -0.002
MIR1288 0.0339
MIR1471 0.0274
MIR1470 -0.0266
MIR1915 0.009
MIR302F 0.0218
MIR1182 0.0162
MIR1287 0.0178
MIR1289-2 -0.0159
MIR320C1 0.0218
MIR1252 -0.004
MIR1914 -0.0015
MIR1292 0.0194
MIR1537 0.0162
MIR1913 -0.0284
MIR1246 0.0442
MIR1248 -0.0139
MIR1912 -0.0307
MIR1247 -0.0293
MIR1249 0.0067
MIR1296 0.0357
MIR1298 -0.0307
MIR1229 -0.0061
MIR1185-1 -0.0293
MIR1231 0.0031
MIR548F3 -0.0159
MIR1233-1 -0.5346
MIR1205 -0.0269
MIR1278 -0.0147
MIR2113 2e-04
MIR1322 -0.0108
MIR1257 -0.0015
MIR320D2 0.0027
MIR1206 -0.0269
MIR1258 -0.0116
MIR1307 0.0178
MIR1207 -0.0269
MIR1295A -0.0116
MIR1270-1 -0.0266
MIR1279 0.021
MIR1272 0.0219
MIR1204 -0.0269
MIR548I3 -0.0108
MIR1297 -0.0125
MIR1243 0.0368
MIR1976 0.0115
MIR548I4 -0.0324
MIR320C2 0.0218
MIR1234 -0.0024
MIR1306 0.0221
MIR1228 0.0318
MIR1266 4e-04
MIR548I1 0.099
MIR1283-2 0.0224
MIR1253 -7e-04
MIR1185-2 -0.0293
MIR1909 -0.0266
MIR1203 0.0209
MIR1324 0.0171
MIR1181 -0.0266
MIR1277 0.0027
MIR1827 -1.3159
MIR1245A 0.0362
MIR1293 0.0318
MIR1291 0.0318
MIR1911 -0.0307
MIR2110 0.0178
MIR2053 -0.0088
MIR1238 -0.0266
MIR1250 0.0355
MIR1226 -0.0124
MIR664 0.0162
MIR1179 0.0047
MIR1260A -0.0293
MIR1281 0.0221
MIR103B1 -0.0345
MIR548F5 -0.005
MIR1304 -0.0094
MIR1236 0.1441
MIR1972-1 -0.008
MIR1301 0.0126
MIR1197 -0.0293
MIR1264 -0.0307
MIR1282 0.0386
MIR1323 0.0224
MIR1180 0.0385
MIR1539 0.0322
MIR1469 0.0181
MIR2052 -0.0142
MIR1910 0.0217
MIR1908 0.0252
MIR1283-1 0.0224
MIR2054 -0.0116
MIR1305 0.0215
MIR1178 0.029
MIR548I2 0.0193
MIR1262 0.0177
MIR1237 0.0252
MIR1208 -0.0269
MIR103B2 0.0194
MIR1227 -0.0266
MIR1251 -0.004
MIR1973 -0.0116
RASAL2-AS1 -0.0018
LOC100302640 -0.0289
BRE-AS1 0.0126
GPR75-ASB3 0.0303
LINC00184 0.0162
FTX -0.005
TMED7-TICAM2 -0.0159
PCNA-AS1 0.0194
FAS-AS1 0.0178
SNORA80B 0.0067
NCRUPAR 0.0045
TSNAX-DISC1 0.0162
ZEB2-AS1 -0.145
SLC25A5-AS1 0.0027
LOC100303749 0.0379
PET117 0.0307
PITPNA-AS1 -7e-04
NDUFAF4P1 4e-04
OTX2-AS1 0.0054
SPDYE2L -0.0195
MIR320B2 0.0162
MIR548K 0.0022
MIR548F2 -0.0153
MIR548M -0.005
MIR670 -0.0167
MIR759 -0.0125
MIR2117 0.014
MIR2278 0.0043
MIR718 0.0583
MIR663B -0.0345
MIR762 0
MIR764 -0.0307
MIR2114 0.0583
MIR548Q 0.0178
MIR2276 -7e-04
MIR711 -0.0124
MIR548H4 -0.0142
MIR2116 0.0219
MIR2277 0.0045
MIR761 0.0106
MIR548F4 0.0246
MIR320D1 -0.0125
MIR548J 0.0221
MIR449C -0.0043
MIR548G 0.0014
HOTTIP 0.0036
SAP25 0.0094
GCSHP3 0.0453
TRPC5OS -0.0307
LOC100335030 0.0318
SNORA70F 0.023
CSN1S2BP 0.0014
LINC00102 0.0905
CHAF1A -0.0266
SNORA70G 0.021
SNORA70D -0.008
MACROD2-AS1 -0.8692
TMED11P 0.0193
LOC100379224 0.0246
BOK-AS1 0.0274
SNORA70E -0.0569
NPPA-AS1 0.009
MIR181A2HG -0.0305
BACE1-AS -0.0236
GRIK1-AS2 0.0023
PARP2 0.0353
ZBED6 0.0162
PARP3 -0.0124
CDH6 -0.0043
TOM1L1 0.0122
LOC100419868 -0.0191
HMGXB4 0.0221
LOC100422737 0.0044
MIR4300 -0.0569
MIR3128 -0.0116
MIR3160-2 -0.0167
MIR4274 0.0193
MIR3160-1 -0.0167
MIR4287 0.0173
MIR4319 0.0218
MIR3191 -0.0159
MIR3188 -0.0266
MIR3183 -0.8223
MIR1193 -0.0293
MIR3119-1 -0.0116
MIR4317 -1.2008
MIR3074 0.0043
MIR1233-2 -0.5346
MIR514B -0.0324
MIR548T -0.0116
MIR4316 0.0122
MIR3182 0.0217
MIR3187 -0.0266
MIR4301 -0.0236
MIR3123 0.0162
MIR4318 0.0218
MIR4285 -0.0195
MIR3136 0.0171
MIR4292 0.038
MIR4306 0.0182
MIR4265 0.0142
MIR4320 0.0322
MIR3115 0.0115
MIR378C 0.0163
MIR4270 0.0268
MIR3152 -0.0228
MIR3117 0.0177
MIR4297 0.0163
MIR4279 -0.0043
MIR3192 0.0307
MIR3148 0.0173
MIR3202-2 0.0583
MIR3124 0.0298
MIR3162 0.0252
MIR3170 0.0182
MIR3120 -0.0116
MIR4325 -0.0015
MIR4280 0.0045
MIR4264 -0.006
MIR3194 -0.0015
MIR4327 0.0023
MIR3157 0.0178
MIR3154 -0.0305
MIR4260 0.0162
MIR4294 -0.009
MIR3140 -0.0197
MIR4302 -0.0277
MIR4255 0.0115
MIR3190 -0.0159
MIR3158-1 0.0178
MIR4288 0.0173
MIR3193 0.0099
MIR4311 0.0219
MIR3156-2 0.0286
MIR3129 0.0362
MIR4295 0.0178
MIR2861 -0.0305
MIR500B -0.005
MIR3200 0.0221
MIR320E -0.0159
MIR4253 0.0115
MIR3065 0.0355
MIR3201 0.0067
MIR3167 -0.0236
MIR1972-2 -0.008
MIR548W -0.008
MIR4303 -0.004
MIR4322 -0.0266
MIR4291 0.0043
MIR3127 0.0033
MIR4261 0.0067
MIR4330 0.0583
MIR4304 0.019
MIR4328 -0.005
MIR3143 0.0013
MIR3153 0.0043
MIR4275 -0.0153
MIR3142 -0.0345
MIR3147 -0.0276
MIR4305 -0.0125
MIR4272 0.0296
MIR3189 -0.0266
MIR3186 0.0355
MIR4326 -0.0015
MIR3122 0.0162
MIR4284 -0.0528
MIR3141 -0.0159
MIR4271 -0.0124
MIR3165 0.0022
MIR4309 0.0133
MIR4273 0.0171
MIR3131 -0.0153
MIR4268 -0.0153
MIR4281 -0.0345
MIR4290 0.0043
MIR3150A -0.0142
MIR4263 0.0126
MIR4277 -0.041
MIR3146 0.0049
MIR4251 0.0039
MIR2909 0.0082
MIR4312 0.0219
MIR3169 -0.0067
MIR3178 0
MIR4252 0.0119
MIR4256 0.0288
MIR3185 0.0209
MIR4324 0.0087
MIR4323 -0.0266
MIR3173 -0.0293
MIR4314 -7e-04
MIR4308 0.0054
MIR3125 0.0067
MIR3202-1 0.0583
MIR3156-1 -0.009
MIR3155A -0.0286
MIR3134 -0.0289
MIR1260B -0.0094
MIR3151 -0.0142
MIR3130-1 0.0453
MIR4267 0.0142
MIR3175 0.0047
MIR4262 0.0067
MIR4257 0.0288
MIR3199-2 0.0221
MIR4278 -0.041
MIR3145 0.0056
MIR3130-2 0.0453
MIR3184 0.0082
MIR4282 -0.014
MIR4329 -0.0307
MIR3119-2 -0.0116
MIR3138 0.0193
MIR3177 0
MIR4310 0.0386
MIR3196 -0.0015
MIR4289 0.0043
MIR3156-3 0.0023
MIR4307 0.0255
MIR4258 0.01
MIR4298 0.0492
MIR3197 0.0149
MIR1270-2 -0.0266
MIR3198-1 0.0221
MIR4299 0.0558
MIR4266 0.0142
MIR4254 0.0115
MIR3126 -0.006
MIR4321 -0.0266
MIR3121 -0.0018
MIR3158-2 0.0178
MIR3199-1 0.0221
MIR4313 -0.0018
MIR2355 0.0453
MIR3176 0
MIR3132 -0.0153
MIR4296 0.0163
MIR4276 0.0215
MIR4269 0.0274
IGLL5 0.0221
TOM1 0.0221
KLRF2 0.0489
SH2D3C -0.0305
SH2D3A -0.0266
MAMLD1 0.0583
MINOS1P1 -0.0125
MTRNR2L1 0.0082
MTRNR2L2 0.0045
MTRNR2L3 -0.0015
MTRNR2L4 0
MTRNR2L5 -0.009
MTRNR2L6 0.0024
MTRNR2L8 0.0091
MTRNR2L10 -0.005
CST8 0.0307
RANBP9 -0.0078
DNAJB6 0.0109
LOC100498859 0.0091
THAP9-AS1 0.0014
LOC100499183 -0.0142
LOC100499194 -0.0024
LOC100499227 -0.0236
LOC100499405 -0.0999
LINC00674 0.0122
LINC00673 0.0122
C9orf174 0.0043
LOC100499484 0.0043
LOC100499489 0.009
CDH7 0.0213
SLC17A4 0.0072
LOC100500773 -0.0142
MIR3659 0.0115
MIR3685 -0.004
MIR3919 0.0031
MIR3654 -0.0276
MIR3607 0.0045
MIR374C -0.005
MIR3917 0.0115
MIR23C 0.0905
MIR3620 0.0162
MIR3621 0.038
MIR3677 0
MIR3646 0.0099
MIR3616 0.5266
MIR3649 0.0173
MIR3612 -0.0847
MIR3945 0.0215
MIR3609 0.0094
MIR3655 -0.0159
MIR3910-1 0.0043
MIR3920 -0.0094
MIR3650 -0.0043
MIR3660 0.0045
MIR3909 0.0221
MIR3614 0.0122
MIR3619 0.0067
MIR3943 0.0036
MIR550B2 0.0036
MIR3912 -0.0345
MIR3658 -0.0121
MIR3653 0.0221
MIR3924 -0.004
MIR3907 0.0109
MIR3914-1 -0.0528
MIR3606 0.0362
MIR3926-2 0.0358
MIR3656 -0.0236
MIR3678 0.0122
MIR3652 0.0133
MIR3922 0.0133
MIR3664 0.0022
MIR642B -0.0159
MIR3689A -0.0067
MIR3615 0.0122
MIR3916 0.0298
MIR3682 0.0303
MIR3918 -0.0284
MIR3180-4 0
MIR3605 0.0115
MIR3671 0.0177
MIR548Z 0.021
MIR3939 -0.0284
MIR3622A 0.0173
MIR3921 -0.0316
MIR3618 0.0221
MIR3665 0.0182
MIR548AA1 -0.0142
MIR3936 -0.0159
MIR3941 0.0163
MIR3684 0.0014
MIR3913-2 0.021
MIR3926-1 0.0358
MIR3622B 0.0173
MIR3911 -0.0305
MIR3938 -0.0475
MIR3679 -0.0345
MIR3668 0.0056
MIR3662 0.0056
MIR3688-1 0.5457
