SYMBOL BT474_BREAST
UCKL1-AS1 0.8138
SNORD127 0.2975
SNORD124 2.5078
SNORD126 0.8134
SNORD11B -0.0581
SNORD12B 1.379
SNORD111B 0.0683
LINC00577 0.0587
LINC00583 -1.7912
TMEM170B 0.0441
SNORD58C 0.2765
SCARNA27 0.0441
SNORA84 -0.3988
SNORA36C -0.1973
SNORA38B 0.6279
SNORA70B -0.1973
SNORA70C -0.3537
SNORA11B 1.0469
SNORA11C 0.2384
LOC100124692 0.4872
HOTAIR 0.1315
ZGLP1 0.4694
FAM86JP 0.3919
FMR1-AS1 -0.5108
MIR298 2.043
MIR300 0.277
VTRNA2-1 0.0277
MIR509-2 -0.5108
MIR450B -0.5108
MIR890 -0.5108
MIR891B -0.5108
MIR888 -0.5108
MIR892B -0.5108
MIR541 0.277
MIR875 0.6926
MIR876 -1.7646
MIR147B -0.257
MIR744 -0.2853
MIR877 0.0242
MIR665 0.277
MIR873 -1.7646
MIR374B -0.4833
MIR301B -0.2707
MIR216B -0.1827
MIR920 0.0663
MIR922 0.4143
MIR934 -0.5108
MIR935 0.0888
MIR936 -0.2548
MIR938 0.0593
MIR940 0.0164
MIR941-1 0.8138
MIR941-4 0.8138
MIR942 -0.1866
MIR943 -0.2719
MIR708 -0.2207
MIR885 0.0777
MIR543 0.277
MIR208B 0.8007
MIR509-3 -0.5108
MIR937 0.6926
MIR941-2 0.8138
MIR944 0.4246
MIR891A -0.5108
MIR892A -0.5108
MIR874 0.0277
MIR889 0.277
MIR190B 0.6166
MIR760 -0.2324
MIR921 0.9735
MIR933 -0.0281
MIR939 0.6926
MIR941-3 0.8138
MIR365A 0.0323
MIR365B 0.2744
SNAR-G1 0.0982
SNAR-F 0.0982
LOC100126784 0.0703
EGOT 0.0677
GHRLOS 0.0777
SNAR-A1 0.0719
SNAR-A2 0.0719
SNAR-A12 0.0719
KIAA1024L -0.5373
LOC100127888 0.5216
C10orf131 -0.2208
LOC100127983 0.6866
LOC100128023 0.4199
WWTR1-AS1 0.4306
LOC100128054 -0.2208
LOC100128071 -0.2687
LOC100128076 -0.3988
JAZF1-AS1 0.6726
LOC100128098 0.0042
HGC6.3 -0.7191
STAU2-AS1 0.2809
LOC100128164 0.4361
LOC100128176 -0.6661
TMPO-AS1 0.3207
LOC100128239 -0.2686
LOC100128252 0.0706
LOC100128264 0.4564
DNM1P35 0.0211
LOC100128288 -0.2853
LOC100128292 -0.1826
BET3L 0.0673
LOC100128338 0.6926
LOC100128361 -0.3988
C3orf74 -0.6312
FAM225B -0.4202
LOC100128398 0.0706
LOC100128420 -0.5108
C20orf78 0.3025
LOC100128505 -0.3537
LOC100128511 0.0544
LOC100128531 -0.2944
LOC100128554 0.2996
LOC100128568 -0.3648
C19orf71 -0.375
LOC100128573 -0.3648
SLC8A1-AS1 -0.1553
LOC100128593 0.0589
ACVR2B-AS1 -0.6438
LOC100128675 0.1023
LOC100128682 0.1023
LOC100128714 -2.5797
OST4 0.1008
LOC100128750 -0.362
LOC100128770 0.0164
LINC00476 -0.3988
LOC100128787 -0.2384
SRRM2-AS1 0.0164
GPR158-AS1 0.0593
LOC100128822 0.4876
LOC100128881 0.0683
FAM66B -0.0028
ZBTB42 0.277
LOC100128946 -0.2805
MAPT-AS1 -0.2426
LOC100128993 -0.3632
LOC100129027 -0.3366
LOC100129034 0.6397
LOC100129046 -0.2324
LOC100129055 0.0839
UNQ6494 -0.3988
KTN1-AS1 0.2975
LOC100129083 0.0982
KHDC1L 0.0281
LOC100129138 -0.1922
LOC100129148 0.4872
LOC100129175 -0.015
MATN1-AS1 -0.2687
LOC100129213 0.0544
LOC100129216 0.3096
LOC100129250 -1.7646
LOC100129269 -0.2426
C1orf68 -0.2045
LOC100129316 -0.3988
LOC100129345 0.277
NRADDP -0.7116
GABPB1-AS1 -0.257
FAM106CP -0.3102
MSTO2P 0.7552
RPL19P12 0.2876
LOC100129427 0.6832
DPY19L1P1 0.6431
CXorf28 1.2129
LOC100129480 0.0777
ZNF37BP 0.0567
LINC00633 -0.5108
LOC100129518 -0.7139
LOC100129520 -0.5108
LOC100129534 -0.2698
LOC100129550 0.3919
FAM47E 1.1747
LINC00462 -0.2528
LOC100129617 0.0683
LOC100129620 -0.2384
LOC100129636 0.0608
TCF24 0.2706
FGF13-AS1 -0.5108
ARRDC3-AS1 -0.5573
LOC100129722 0.0589
LOC100129726 -0.1553
CCDC152 0.684
LOC100129794 0.8717
MRVI1-AS1 0.0807
ZNF737 -0.6023
PCOLCE-AS1 0.2876
LOC100129858 -0.1916
SCXA 0.6926
LOC100129917 -0.2719
LOC100129924 -0.2742
LOC100129931 -0.2355
LOC100129935 0.0725
LOC100129961 -0.0124
HDAC6 0.2384
LOC100130000 -0.1866
LOC100130015 0.0683
FTLP10 -0.2048
LOC100130093 0.3452
MAPT-IT1 -0.2426
LOC100130155 0.2706
KIAA0494-AS1 -0.206
LOC100130231 0.6926
LOC100130238 0.2996
LOC100130264 0.3025
CCDC166 0.6926
LOC100130275 0.0441
LOC100130298 0.2706
LOC100130301 0.2809
FAM48B1 0.9123
C17orf107 -0.3153
LOC100130331 0.4837
SCGB2B3P 0.1023
LOC100130348 1.0567
LOC100130357 0.0176
LINC00552 -0.2648
LOC100130417 -0.2698
CECR7 -0.2642
PP14571 -0.0545
LOC100130451 -0.015
LOC100130452 -0.0581
LOC100130476 0.0673
LOC100130480 0.6368
TMEM221 0.2702
PARD6G-AS1 0.2583
LOC100130539 0.0567
LOC100130557 -0.2742
LOC100130581 -0.3237
CXorf64 -0.5108
LOC100130673 0.6431
LOC100130691 -0.0281
LOC100130700 0.0739
LOC100130705 0.3075
CECR5-AS1 -0.2642
LRRC70 -0.3583
LRRC69 0.6866
LOC100130744 0.684
EFCAB10 0.2876
LOC100130776 0.1315
SGK110 0.0706
LOC100130849 0.7032
LOC100130855 -0.2687
LOC100130872 -0.2719
LOC100130880 0.3075
PSORS1C3 0.0242
TSTD3 0.0938
LOC100130894 0.0683
LOC100130899 -0.3174
C17orf110 -0.3027
ZNF663 0.2629
LOC100130950 -0.3153
LOC100130954 0.0589
SYCE1L 0.0683
LOC100130964 -0.2473
C6orf99 -0.7139
LOC100130987 0.665
C7orf72 0.6832
LOC100130992 0.0544
LOC100131047 0.0686
LOC100131060 -0.1986
LOC100131067 -0.3878
LOC100131089 -0.3133
LOC100131094 -0.375
LOC100131096 -0.3027
ZBTB20-AS1 0.3837
BSPH1 -0.6626
LOC100131138 0.2858
WDR86-AS1 0.4876
TSTD1 0.5932
KIAA1984-AS1 0.0589
RPL21P28 -0.2656
SNAP25-AS1 0.2858
TMEM194B -0.0281
ZNF503-AS2 -0.1826
LOC100131234 0.6666
ANKRD63 -0.3133
LOC100131257 0.6699
LOC100131289 0.0608
LOC100131320 0.0165
LOC100131347 2.4254
LINC00605 0.277
C11orf91 0.0447
SP9 -0.0281
LOC100131434 -0.5108
CD300LD -0.3027
DBIL5P -0.2974
LOC100131496 2.1615
LOC100131551 0.4199
FKSG29 -0.2327
LOC100131564 -0.2324
LOC100131626 -0.2591
LOC100131635 0.4246
LOC100131655 0.2583
LOC100131691 0.1393
LOC100131726 0.6926
USP30-AS1 -0.2619
ARMCX4 -0.5108
PET100 -0.3648
LINC00271 0.0673
UBE2DNL -0.4556
LOC100131825 -0.3155
ZNF717 -0.2621
FAM196B 0.1545
KRTAP25-1 -0.282
ZNF705G -0.0028
RRN3P3 0.0196
LOC100132077 -0.3988
LOC100132078 -0.2591
HERC2P7 1.276
FAM66E -0.0028
LOC100132111 -0.2863
LOC100132146 -0.6438
PHKA2-AS1 0.9123
LOC100132215 -0.1973
LOC100132247 0.0196
LOC100132273 -0.3174
KIAA0664L3 -0.0406
LOC100132352 -0.271
LOC100132354 0.0686
LOC100132356 0.684
KRTAP4-9 -0.2576
ZNF705B -0.0028
GAGE12D 0.2384
NBPF10 -0.179
FCGR1C -0.2828
CLDN24 0.6924
FAM99B -0.7538
KRTAP4-7 0.4512
LOC100132526 0.0777
XGPY2 -3.236
ZRANB2-AS1 -0.223
BSN-AS2 -0.7116
LOC100132707 0.4564
CYP4F30P 0.0165
DCAF13P3 -0.257
LOC100132735 -0.6661
LOC100132741 -0.4833
KDM4A-AS1 -0.2742
LOC100132781 -0.3988
LOC100132831 0.2384
LOC100132832 0.2876
LOC100132891 0.2809
DPH3P1 0.5216
FAM159B -0.3583
FAM66D 0.2272
FAM27C -0.171
CXorf68 -0.5108
GOLGA8DP 0.9596
LOC100132987 -0.1826
LOC100133050 -0.5573
LOC100133091 0.2876
FAM27B -0.171
LOC100133123 0.9123
UBE2Q2P3 -0.7619
SPANXB2 -0.5108
FAM66A 0.2272
LINC00240 0.0608
SBF1P1 -0.5589
LOC100133267 0.2272
LOC100133286 -0.3074
LOC100133308 0.0567
HOXA-AS3 0.6726
LOC100133315 -1.2932
LOC100133445 -0.2698
LOC100133461 -0.2719
MRPL23-AS1 -0.7538
LOC100133612 -0.2698
LOC100133669 0.6926
LOC100133920 -0.1973
CD24 0.0608
LOC100133957 0.2384
LOC100133985 -0.1973
MAP3K14-AS1 -0.3237
UBOX5-AS1 0.2858
LOC100134229 0.4872
LOC100134259 -0.1553
LOC100134317 0.1023
LOC100134368 0.0164
KCNJ18 -0.2477
NDUFB2-AS1 0.4872
LOC100134868 0.3025
UBE2Q2P2 -0.7619
TEN1 -0.3027
UPK3BL 0.2876
JMJD7 -0.3133
PLA2G4B -0.3133
HDAC5 -0.3237
C17orf99 -0.3027
LOC100144595 -0.0242
LINC00029 0.8138
LOC100144597 0.8138
LOC100144602 -0.2048
LOC100144603 -0.2243
LOC100144604 -0.2857
KLLN -0.2208
PDCD6IP -0.6438
KRTAP20-4 -0.282
RNU4ATAC -0.0237
RNU6ATAC 0.0589
SCARNA9L 0.9123
PDCD6 0.7078
LOC100169752 -1.3218
PATE3 -0.2686
PEG3-AS1 0.0706
SNAR-A13 0.0719
DBIL5P2 -0.1973
BCL2L10 -0.257
SNAR-B2 0.0982
SNAR-C2 0.0719
SNAR-C4 0.0719
SNAR-E 0.0719
SNAR-H -0.1199
SNAR-I 0.4246
SNAR-C5 0.0719
SNAR-B1 0.0982
SNAR-C1 0.0719
SNAR-C3 0.0719
SNAR-D 0.0982
SNAR-G2 0.0982
SRRM5 0.1045
C19orf69 0.1045
C17orf96 2.4254
LOC100170939 0.0032
BCL2L11 -0.0298
MIR1224 0.4266
MIR1225 0.0164
TOMM6 0.0686
LOC100188947 -0.2208
LINC00426 -0.2528
LINC00092 -0.3988
DNMBP-AS1 -0.2548
DCTN1-AS1 -0.1199
SH2B3 0.2858
RAMP2-AS1 -0.2998
TPT1-AS1 -0.2528
LOC100190940 0.2996
C5orf52 0.0427
LOC100190986 0.0196
C2CD4D -0.2863
LOC100192204 0.0042
ZFHX4-AS1 0.7037
PP12613 -0.2239
FLJ16779 0.8138
FLJ41941 -0.2642
LOC100192426 0.6368
CDH4 -0.3196
GNE -0.7127
HCN4 0.3352
LOC100216001 0.0438
LOC100216479 0.0165
LOC100216545 0.2876
LOC100216546 0.2876
INSL5 -0.223
FRAT1 -0.2548
PCED1B-AS1 0.1327
TROAP 0.1315
LOC100240734 0.1315
LOC100240735 0.1315
MED16 -0.375
PIGK -0.1961
LOC100268168 0.1545
LOC100270679 0.3025
LOC100270746 0.0608
LOC100270804 0.3025
LOC100271702 0.5726
ARHGEF33 -0.1553
LOC100271722 -0.3174
LOC100271832 -0.1491
LOC100271836 0.0196
ERVV-2 0.0888
MEF2B -0.7217
AIRN -0.7139
ZNRF2P2 0.6726
MTCP1NB -0.5108
LOC100272216 0.0032
LOC100272217 0.537
LOC100272228 -0.5108
LOC100286793 -0.1866
BCDIN3D-AS1 0.1315
LOC100286922 -0.0545
VPS13A-AS1 -0.4052
ANAPC1P1 -0.1199
LOC100287010 -0.0073
LOC100287015 -0.4391
DDX11L10 0.0164
LOC100287036 0.0683
LOC100287042 -0.3027
DEFT1P2 -0.4391
LINC00421 -0.2692
LOC100287144 -0.2355
LOC100287177 0.0719
LOC100287178 -0.2355
LOC100287205 -0.2355
SH3RF3-AS1 -0.0298
LOC100287225 0.2765
ZNF729 -0.5938
TIPARP-AS1 0.4381
LOC100287238 -0.2355
MANSC4 0.1186
LOC100287314 0.1082
LOC100287327 -0.2355
PRSS46 -0.6438
LOC100287364 -0.2355
LOC100287404 -0.2355
PNMA6C -0.5108
LOC100287441 -0.2355
LOC100287478 -0.2355
LOC100287482 0.3075
LOC100287513 -0.2355
LOC100287534 0.578
ADPGK-AS1 0.3352
LINC00173 0.3706
LOXL1-AS1 0.0211
LOC100287632 0.0673
LOC100287704 0.0818
LOC100287718 0.0686
AP4B1-AS1 -0.2426
LINC00630 -0.5108
LOC100287792 -0.3318
LINC00582 -0.2394
LOC100287846 -0.2889
LOC100287879 -0.6312
TTC34 -0.2698
LGALS8-AS1 0.4012
TIMM23 -1.2114
LOC100287944 -0.2619
GM140 -0.2675
LOC100288069 -0.2698
WTAPP1 0.9737
LOC100288079 -0.2675
LOC100288122 0.6368
LOC100288123 -0.375
LOC100288181 0.6926
LOC100288198 0.0938
KRTAP22-2 -0.282
KRTAP21-3 -0.282
LOC100288346 -0.2591
ERVMER34-1 -0.2136
LOC100288428 0.0777
LOC100288432 -0.3074
MTRNR2L7 0.0839
LOC100288520 -0.2355
LOC100288524 0.5715
WHAMMP1 0.1864
LOC100288637 0.2866
PAN3-AS1 -0.2528
LOC100288748 0.6926
TMEM239 0.2858
FRG2C -0.2621
HYDIN2 -0.179
LOC100288814 0.8738
LOC100288842 0.7292
LOC100288846 0.8717
LOC100288911 -0.1553
LOC100288974 -0.2208
MOXD2P 0.4872
LOC100289019 0.537
LOC100289092 0.0196
LOC100289137 -0.6609
FAM197Y5 -3.2774
GNG12-AS1 -0.223
LOC100289187 0.2876
LINC00624 -0.179
LOC100289230 -0.5573
LINC00675 -0.2853
LOC100289341 0.0589
LOC100289361 0.4125
UBAC2-AS1 -0.2327
MCF2L-AS1 -0.2418
DEFB4B -0.0028
LOC100289473 0.2691
LOC100289495 -0.7191
LOC100289509 -0.2548
LOC100289511 0.2663
LOC100289561 0.2876
ZNF605 0.2996
LOC100289650 0.1045
LOC100289656 0.2866
LOC100289673 -0.5418
ZNF783 0.4876
LOC100292680 0.5726
ZNF587B 0.0706
LOC100293534 0.0242
LOC100294145 0.0686
LOC100294362 -0.3045
NHEG1 0.0673
CDH5 0.0683
MIR1284 -0.6221
MIR1200 0.6431
MIR1468 0.4395
MIR1265 0.0042
MIR320B1 -0.2426
MIR1286 -0.2094
MIR1538 0.0683
MIR1276 -0.2772
MIR1275 0.0686
MIR1288 -0.3102
MIR1471 -0.0545
MIR1470 0.7952
MIR1915 0.0544
MIR302F 0.2889
MIR1182 -0.2394
MIR1287 -0.2548
MIR1289-2 0.0277
MIR320C1 0.2519
MIR1252 0.8604
MIR1914 0.8138
MIR1292 0.2858
MIR1537 0.4012
MIR1913 -0.7191
MIR1246 -0.0281
MIR1248 0.4246
MIR1912 -0.5108
MIR1247 0.277
MIR1249 -0.3174
MIR1296 0.0957
MIR1298 -0.5108
MIR1229 0.1085
MIR1185-1 0.277
MIR1231 -0.2695
MIR548F3 0.0443
MIR1233-1 -0.2383
MIR1205 0.6926
MIR1278 -0.3005
MIR2113 0.0938
MIR1322 -0.4501
MIR1257 -0.3196
MIR320D2 -0.5108
MIR1206 0.6926
MIR1258 -0.0281
MIR1307 -0.2548
MIR1207 0.6926
MIR1295A 0.9458
MIR1270-1 -0.7217
MIR1279 0.1539
MIR1272 -0.2687
MIR1204 0.6926
MIR548I3 -0.0028
MIR1297 -0.183
MIR1243 -0.2
MIR1976 -0.2656
MIR548I4 -0.5108
MIR320C2 0.2889
MIR1234 0.6926
MIR1306 -0.2642
MIR1228 0.1315
MIR1266 -0.257
MIR548I1 0.3919
MIR1283-2 0.0888
MIR1253 -0.3153
MIR1185-2 0.277
MIR1909 -0.375
MIR1203 -0.3036
MIR1324 -0.2621
MIR1181 0.4694
MIR1277 -0.5108
MIR1827 -0.2352
MIR1245A -0.0281
MIR1293 0.1315
MIR1291 0.1315
MIR1911 -0.5108
MIR2110 -1.2404
MIR2053 0.6926
MIR1238 0.4694
MIR1250 -0.3045
MIR1226 -0.7116
MIR664 -0.2608
MIR1179 -0.2857
MIR1260A 0.2663
MIR1281 -0.3174
MIR103B1 0.1545
MIR548F5 0.9104
MIR1304 -0.2358
MIR1236 0.0242
MIR1972-1 0.0683
MIR1301 -0.2401
MIR1197 0.277
MIR1264 -0.5108
MIR1282 -0.3133
MIR1323 0.0888
MIR1180 -0.3291
MIR1539 0.2765
MIR1469 -0.2857
MIR2052 0.2878
MIR1910 0.0683
MIR1908 0.6692
MIR1283-1 0.0888
MIR2054 -0.2239
MIR1305 -0.1964
MIR1178 0.2996
MIR548I2 -0.2674
MIR1262 -0.223
MIR1237 1.0567
MIR1208 0.6926
MIR103B2 0.2858
MIR1227 -0.375
MIR1251 -0.2641
MIR1973 -0.2
RASAL2-AS1 -0.1842
LOC100302640 0.0336
BRE-AS1 -0.1491
GPR75-ASB3 -0.1827
LINC00184 -0.2819
FTX -0.4833
TMED7-TICAM2 -0.5373
PCNA-AS1 0.2858
FAS-AS1 -0.2208
SNORA80B -0.1556
NCRUPAR -0.3667
TSNAX-DISC1 -0.2394
ZEB2-AS1 -0.0124
SLC25A5-AS1 -0.5108
LOC100303749 -0.3665
PET117 0.3025
PITPNA-AS1 -0.2974
NDUFAF4P1 -0.257
OTX2-AS1 0.2975
SPDYE2L 0.2876
MIR320B2 -0.2608
MIR548K 0.8142
MIR548F2 -0.015
MIR548M -0.434
MIR670 0.0447
MIR759 -0.183
MIR2117 -0.3237
MIR2278 -0.3988
MIR718 -0.5108
MIR663B 0.1745
MIR762 -0.0406
MIR764 -0.5108
MIR2114 -0.5108
MIR548Q -1.2404
MIR2276 -0.2351
MIR711 -0.7116
MIR548H4 0.3002
MIR2116 -0.2687
MIR2277 -0.5573
MIR761 -0.2491
MIR548F4 0.4876
MIR320D1 -0.2528
MIR548J -0.2944
MIR449C -0.3583
MIR548G -0.2
HOTTIP 0.6726
SAP25 0.2876
GCSHP3 -0.0182
TRPC5OS -0.5108
LOC100335030 0.1315
SNORA70F 0.0061
CSN1S2BP -0.228
LINC00102 1.2129
CHAF1A -0.375
SNORA70G 0.1539
SNORA70D 0.0683
MACROD2-AS1 0.2858
TMED11P -0.2719
LOC100379224 0.1045
BOK-AS1 -0.0545
SNORA70E -0.2155
NPPA-AS1 -0.2698
MIR181A2HG 0.6397
BACE1-AS -0.2591
GRIK1-AS2 -0.282
PARP2 0.8134
ZBED6 1.053
PARP3 -0.6312
CDH6 0.684
TOM1L1 2.1088
LOC100419868 0.0839
HMGXB4 -0.3046
LOC100422737 0.0587
MIR4300 -0.2155
MIR3128 -0.0281
MIR3160-2 0.0447
MIR4274 -0.2355
MIR3160-1 0.0447
MIR4287 -0.362
MIR4319 0.2765
MIR3191 0.0719
MIR3188 -0.7217
MIR3183 -0.2974
MIR1193 0.277
MIR3119-1 1.3238
MIR4317 0.6368
MIR3074 -0.3988
MIR1233-2 -0.2383
MIR514B -0.5108
MIR548T -0.2095
MIR4316 -0.3027
MIR3182 0.0683
MIR3187 -0.375
MIR4301 -0.2591
MIR3123 0.4928
MIR4318 0.2889
MIR4285 0.2876
MIR3136 -0.6221
MIR4292 0.0589
MIR4306 -0.2327
MIR4265 -0.0298
MIR4320 0.2765
MIR3115 -0.2656
MIR378C -1.3218
MIR4270 0.0777
MIR3152 -1.2933
MIR3117 -0.223
MIR4297 -1.3218
MIR4279 0.684
MIR3192 0.3025
MIR3148 -0.362
MIR3202-2 -0.5108
MIR3124 0.7556
MIR3162 0.6692
MIR3170 -0.2327
MIR3120 0.6479
MIR4325 2.4013
MIR4280 -1.241
MIR4264 -0.1199
MIR3194 1.7234
MIR4327 -0.282
MIR3157 -0.2208
MIR3154 0.537
MIR4260 -0.2856
MIR4294 0.0211
MIR3140 -0.2178
MIR4302 0.0663
MIR4255 -0.2742
MIR3190 0.0719
MIR3158-1 -0.2548
MIR4288 -0.362
MIR3193 0.65
MIR4311 -0.2687
MIR3156-2 0.6368
MIR3129 -0.0281
MIR4295 -1.2404
MIR2861 0.537
MIR500B 0.2384
MIR3200 -0.3191
MIR320E 0.0719
MIR4253 -0.2656
MIR3065 -0.3045
MIR3201 -0.2805
MIR3167 -0.2686
MIR1972-2 0.0683
MIR548W 0.0683
MIR4303 0.3207
MIR4322 0.4694
MIR4291 -0.3988
MIR3127 -0.0021
MIR4261 0.3883
MIR4330 -0.5108
MIR4304 0.2996
MIR4328 -0.4833
MIR3143 0.0608
MIR3153 -0.3988
MIR4275 -0.2021
MIR3142 0.0427
MIR3147 0.7402
MIR4305 -0.2528
MIR4272 -0.6312
MIR3189 -0.7217
MIR3186 0.2309
MIR4326 0.8138
MIR3122 -0.2856
MIR4284 0.2876
MIR3141 0.063
MIR4271 -0.7116
MIR3165 -0.3814
MIR4309 0.277
MIR4273 -0.2621
MIR3131 -0.015
MIR4268 -0.015
MIR4281 0.2741
MIR4290 -0.3988
MIR3150A 0.6926
MIR4263 -0.1491
MIR4277 0.7078
MIR3146 0.6699
MIR4251 -0.2698
MIR2909 1.4424
MIR4312 -0.2687
MIR3169 -0.203
MIR3178 0.0164
MIR4252 -0.2698
MIR4256 -0.2426
MIR3185 2.4336
MIR4324 0.0982
MIR4323 0.1045
MIR3173 0.277
MIR4314 -0.2853
MIR4308 0.2975
MIR3125 -0.1556
MIR3202-1 -0.5108
MIR3156-1 0.0567
MIR3155A 0.0438
MIR3134 0.406
MIR1260B -0.2358
MIR3151 0.6926
MIR3130-1 -0.0182
MIR4267 -0.0298
MIR3175 -0.2857
MIR4262 -0.1556
MIR4257 1.1098
MIR3199-2 -0.2944
MIR4278 0.6648
MIR3145 -0.6661
MIR3130-2 -0.0182
MIR3184 0.2744
MIR4282 0.0281
MIR4329 -0.5108
MIR3119-2 1.3238
MIR3138 -0.2674
MIR3177 0.0164
MIR4310 -0.3133
MIR3196 0.8138
MIR4289 -0.3988
MIR3156-3 -0.24
MIR4307 0.8572
MIR4258 0.2316
MIR4298 -0.7538
MIR3197 -0.3366
MIR1270-2 -0.7217
MIR3198-1 -0.2642
MIR4299 0.0807
MIR4266 -0.0298
MIR4254 -0.2687
MIR3126 -0.1973
MIR4321 -0.375
MIR3121 -0.2675
MIR3158-2 -0.2548
MIR3199-1 -0.2944
MIR4313 0.0211
MIR2355 -0.0182
MIR3176 0.0164
MIR3132 -0.015
MIR4296 -1.3218
MIR4276 -0.2182
MIR4269 -0.0545
IGLL5 -0.1735
TOM1 -0.3046
KLRF2 0.1002
SH2D3C 0.537
SH2D3A -0.3648
MAMLD1 -0.5108
MINOS1P1 -0.2528
MTRNR2L1 -0.2477
MTRNR2L2 -0.3878
MTRNR2L3 2.4013
MTRNR2L4 0.0164
MTRNR2L5 0.0957
MTRNR2L6 0.4872
MTRNR2L8 0.4747
MTRNR2L10 0.2557
CST8 0.3025
RANBP9 0.0176
DNAJB6 0.4564
LOC100498859 0.4381
THAP9-AS1 -0.2262
LOC100499183 0.6926
LOC100499194 -0.0237
LOC100499227 -0.2591
LOC100499405 0.0423
LINC00674 0.2679
LINC00673 -0.3027
C9orf174 -0.3988
LOC100499484 -0.3988
LOC100499489 0.0544
CDH7 0.2486
SLC17A4 0.0608
LOC100500773 0.6926
MIR3659 -0.2742
MIR3685 -0.2641
MIR3919 0.4381
MIR3654 0.3716
MIR3607 -1.241
MIR374C -0.4833
MIR3917 -0.2656
MIR23C 0.9123
MIR3620 0.3452
MIR3621 0.0589
MIR3677 0.0164
MIR3646 1.7516
MIR3616 0.6294
MIR3649 0.5726
MIR3612 0.2996
MIR3945 0.269
MIR3609 0.2876
MIR3655 0.0277
MIR3910-1 -0.3988
MIR3920 1.4671
MIR3650 0.684
MIR3660 -0.5573
MIR3909 -0.3046
MIR3614 0.4075
MIR3619 -0.3174
MIR3943 0.6654
MIR550B2 0.6431
MIR3912 0.1545
MIR3658 0.9735
MIR3653 -0.2892
MIR3924 0.0957
MIR3907 0.4876
MIR3914-1 0.8228
MIR3606 -0.0281
MIR3926-2 -0.3588
MIR3656 -0.2591
MIR3678 -0.3027
MIR3652 -0.2619
MIR3922 -0.2619
MIR3664 0.3096
MIR642B 0.0719
MIR3689A 0.0589
MIR3615 -0.3027
MIR3916 1.6601
MIR3682 -0.1827
MIR3918 -0.7139
MIR3180-4 0.0196
MIR3605 -0.2687
MIR3671 -0.223
MIR548Z 0.5638
MIR3939 -0.7191
MIR3622A -0.362
MIR3921 0.0336
MIR3618 -0.2642
MIR3665 -0.202
MIR548AA1 0.6926
MIR3936 -0.5373
MIR3941 -1.2404
MIR3684 -0.2
MIR3913-2 0.1539
MIR3926-1 -0.3588
MIR3622B -0.362
MIR3911 0.537
